year,open_usd,close_usd,annual_return_pct,notes
2006,55.03,63.45,15.51,
2007,63.8,66.38,4.62,
2008,66.82,41.57,-37.38,
2009,42.66,52.42,26.1,
2010,53.07,60.34,15.11,
2011,61.42,60.27,-0.12,
2012,61.27,68.64,13.88,
2013,70.38,90.14,31.33,
2014,91.95,99.7,10.6,
2015,106.0,98.52,-1.18,
2016,104.38,108.87,10.51,
2017,110.45,129.92,19.33,
2018,137.52,122.76,-5.51,
2019,120.3,158.0,28.71,
2020,163.76,188.56,19.34,
2021,191.03,233.55,23.86,
2022,240.5,187.06,-19.91,
2023,188.59,232.01,24.03,
2024,232.06,266.01,14.65,
2025,266.3,335.27,26.04,
2026,337.15,336.65,-1.15,YTD
