year,vti_return_pct,smh_return_pct,cd_return_pct,vti_capital_usd,smh_capital_usd,cd_capital_usd
2006,15.51,-4.7,3.92,11551.0,9530.0,10392.0
2007,4.62,-4.05,3.92,12084.66,9144.03,10799.37
2008,-37.38,-58.0,3.92,7567.41,3840.49,11222.7
2009,26.1,97.84,3.92,9542.51,7598.03,11662.63
2010,15.11,24.36,3.92,10984.38,9448.92,12119.81
2011,-0.12,-7.89,3.92,10971.2,8703.4,12594.9
2012,13.88,21.75,3.92,12494.0,10596.39,13088.62
2013,31.33,15.8,3.92,16408.37,12270.61,13601.7
2014,10.6,24.86,3.92,18147.66,15321.09,14134.88
2015,-1.18,-3.26,3.92,17933.51,14821.62,14688.97
2016,10.51,34.28,3.92,19818.33,19902.47,15264.78
2017,19.33,46.84,3.92,23649.21,29224.79,15863.16
2018,-5.51,-17.61,3.92,22346.14,24078.31,16484.99
2019,28.71,64.57,3.92,28761.71,39625.67,17131.21
2020,19.34,53.07,3.92,34324.23,60655.01,17802.75
2021,23.86,41.13,3.92,42513.99,85602.41,18500.62
2022,-19.91,-34.88,3.92,34049.46,55744.29,19225.84
2023,24.03,74.23,3.92,42231.54,97123.28,19979.49
2024,14.65,34.7,3.92,48418.46,130825.06,20762.69
2025,26.04,52.12,3.92,61026.63,199011.08,21576.59
2026,-1.15,11.97,3.92,60324.82,222832.71,22422.39
